执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-14 16:40:56
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-15 10:47:56
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-15 10:48:04
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-15 10:48:12
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-15 13:27:20
执行时间：0.09375 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/28/cid/1.html 当前时间:2017-07-15 13:27:32
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-15 13:27:47
执行时间：0.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-07-15 15:01:50
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-15 15:01:56
执行时间：0.078125 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/29/cid/1.html 当前时间:2017-07-15 15:02:01
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-15 15:02:17
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-15 15:02:43
执行时间：0.078125 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-07-15 15:04:00
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-16 11:29:17
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-16 11:29:41
执行时间：0.0625 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-16 14:46:28
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-16 14:46:29
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-16 14:46:36
执行时间：0.078125 = URL：/Work/WorkReport/studentIndex/id/2/cid/1.html 当前时间:2017-07-16 14:46:58
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-16 14:54:45
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-16 15:36:38
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-16 19:29:47
执行时间：0.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-07-16 19:32:08
执行时间：0.09375 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/36/cid/1.html 当前时间:2017-07-16 19:32:13
执行时间：0.09375 = URL：/Work/ClassGrade/index.html 当前时间:2017-07-17 04:23:35
执行时间：0.109375 = URL：/Work/ClassUser/index.html 当前时间:2017-07-17 04:23:36
执行时间：0.09375 = URL：/Work/ClassList/index.html 当前时间:2017-07-17 04:23:37
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 06:13:26
执行时间：0.078125 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 06:13:43
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 11:57:20
执行时间：0.09375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-07-17 11:57:37
执行时间：0.109375 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-17 11:57:59
执行时间：0.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 11:58:03
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-17 11:58:06
执行时间：0.078125 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-17 11:58:09
执行时间：0.078125 = URL：/Work/Work/addWork.html 当前时间:2017-07-17 11:58:12
执行时间：0.09375 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 11:58:17
执行时间：0.0625 = URL：/Work/Work/checkWork.html 当前时间:2017-07-17 11:58:30
执行时间：0.0625 = URL：/Work/MyClass/myClass.html 当前时间:2017-07-17 12:24:23
